"PID"	"SalePrice"	"Neighborhood"	"Year.Built"	"Overall.Cond"
902205010	45000	"OldTown"	1940	4
902105130	64000	"OldTown"	1940	4
535380130	80000	"OldTown"	1910	4
902207110	64000	"OldTown"	1920	4
903430130	52500	"OldTown"	1941	4
902401060	76500	"OldTown"	1910	3
902331010	58500	"OldTown"	1910	3
903231060	60000	"BrkSide"	1936	3
534450090	39300	"BrkSide"	1946	3
534450110	64500	"BrkSide"	1946	3
534451150	76500	"BrkSide"	1940	2
902207130	12789	"OldTown"	1923	2
902207120	65000	"OldTown"	1949	1
902402260	55000	"OldTown"	1920	1
